date,cash,online,credit,total_sales,customers,dine_in_sales,avg_ticket,day_of_week,dow
2026-05-01,9632.0,63412.0,4015.0,77059.0,50.0,67101.0,1342.02,Friday,4
2026-05-02,13736.0,71023.0,9365.0,94124.0,52.0,76450.0,1470.1923076923076,Saturday,5
2026-05-03,19775.0,54920.0,11175.0,85870.0,56.0,70947.0,1266.9107142857142,Sunday,6
2026-05-04,6205.0,34970.0,2470.0,43645.0,25.0,38965.99,1558.6396,Monday,0
2026-05-05,15220.0,55202.0,8000.0,78422.0,52.0,70423.0,1354.2884615384614,Tuesday,1
2026-05-06,6872.0,6871.0,4328.0,18071.0,11.0,14126.0,1284.1818181818182,Wednesday,2
2026-05-07,16130.0,37561.0,1890.0,55581.0,31.0,52094.0,1680.451612903226,Thursday,3
2026-05-08,11539.0,35357.0,4030.0,50926.0,37.0,46729.0,1262.945945945946,Friday,4
2026-05-09,941.0,77486.0,11215.0,89642.0,50.0,76611.0,1532.22,Saturday,5
2026-05-10,14147.0,57901.0,21135.0,93183.0,60.0,94958.0,1582.6333333333334,Sunday,6
2026-05-11,17302.0,80202.0,9455.0,106959.0,55.0,94862.0,1724.7636363636364,Monday,0
2026-05-12,15381.0,32266.0,0.0,47647.0,34.0,42052.0,1236.8235294117646,Tuesday,1
2026-05-13,11900.0,43704.0,1950.0,57554.0,42.0,55403.0,1319.1190476190477,Wednesday,2
2026-05-14,7705.0,48845.0,0.0,56550.0,38.0,51210.0,1347.6315789473683,Thursday,3
2026-05-15,17405.0,59185.0,4725.0,81315.0,45.0,72463.0,1610.2888888888888,Friday,4
2026-05-16,23140.0,67030.0,25900.0,116070.0,70.0,92936.0,1327.6571428571428,Saturday,5
2026-05-17,18470.0,59020.0,0.0,77490.0,51.0,77500.0,1519.6078431372548,Sunday,6
2026-05-18,5380.0,16250.0,4838.0,26468.0,18.0,22041.0,1224.5,Monday,0
2026-05-19,22045.0,21930.0,9350.0,53325.0,35.0,43452.0,1241.4857142857145,Tuesday,1
2026-05-20,5015.0,74026.0,1545.0,80586.0,48.0,64352.0,1340.6666666666667,Wednesday,2
2026-05-21,21774.0,41007.0,9520.0,72301.0,59.0,64356.0,1090.7796610169491,Thursday,3
2026-05-22,40100.0,64362.0,5820.0,110282.0,57.0,86434.0,1516.3859649122808,Friday,4
2026-05-23,15520.0,34690.0,14960.0,65170.0,47.0,54658.0,1162.936170212766,Saturday,5
2026-05-24,12252.0,67523.0,11910.0,91685.0,58.0,73883.0,1273.844827586207,Sunday,6
2026-05-25,8860.0,21304.0,1700.0,31864.0,31.0,27553.0,888.8064516129032,Monday,0
2026-05-26,5875.0,58703.0,6440.0,71018.0,28.0,55361.0,1977.178571428571,Tuesday,1
2026-05-27,9910.0,28965.0,9295.0,48170.0,31.0,37047.0,1195.0645161290322,Wednesday,2
2026-05-28,23525.0,54588.0,4965.0,83078.0,61.0,75863.0,1243.655737704918,Thursday,3
2026-05-29,18505.0,70942.0,1415.0,90862.0,57.0,78305.0,1373.7719298245613,Friday,4
2026-05-30,23963.0,69658.0,11730.0,105351.0,54.0,75020.0,1389.2592592592594,Saturday,5
2026-05-31,14382.0,84897.0,0.0,99279.0,53.0,98317.0,1855.0377358490568,Sunday,6
